InvoiceNo,StockCode,Description,Quantity,date,price,Country
552978,85014B,RED RETROSPOT UMBRELLA,48,5/12/11 14:46,"4,95",Germany
552978,85014A,BLACK/BLUE POLKADOT UMBRELLA,48,5/12/11 14:46,"4,95",Germany
552978,22354,RETROSPOT PADDED SEAT CUSHION,60,5/12/11 14:46,"3,39",Germany
552978,22558,CLOTHES PEGS RETROSPOT PACK 24,96,5/12/11 14:46,"1,25",Germany
552978,22329,ROUND CONTAINER SET OF 5 RETROSPOT,48,5/12/11 14:46,"1,45",Germany
552978,22352,LUNCH BOX WITH CUTLERY RETROSPOT,60,5/12/11 14:46,"2,1",Germany
552978,22195,LARGE HEART MEASURING SPOONS,24,5/12/11 14:46,"1,65",Germany
552978,21035,SET/2 RED RETROSPOT TEA TOWELS,100,5/12/11 14:46,"2,75",Germany
552978,21154,RED RETROSPOT OVEN GLOVE,40,5/12/11 14:46,"1,25",Germany
552978,21155,RED RETROSPOT PEG BAG,48,5/12/11 14:46,"2,55",Germany
552978,21039,RED RETROSPOT SHOPPING BAG,48,5/12/11 14:46,"2,55",Germany
552978,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,100,5/12/11 14:46,"2,55",Germany
552978,22939,APRON APPLE DELIGHT,50,5/12/11 14:46,"4,25",Germany
552978,22377,BOTTLE BAG RETROSPOT,50,5/12/11 14:46,"1,85",Germany
552978,20685,DOORMAT RED RETROSPOT,20,5/12/11 14:46,"6,75",Germany
552978,82600,NO SINGING METAL SIGN,48,5/12/11 14:46,"1,85",Germany
552978,21165,BEWARE OF THE CAT METAL SIGN,48,5/12/11 14:46,"1,45",Germany
552978,21164,HOME SWEET HOME METAL SIGN,72,5/12/11 14:46,"2,55",Germany
552978,21907,I'M ON HOLIDAY METAL SIGN,24,5/12/11 14:46,"2,1",Germany
552978,22666,RECIPE BOX PANTRY YELLOW DESIGN,24,5/12/11 14:46,"2,55",Germany
552978,22990,COTTON APRON PANTRY DESIGN,50,5/12/11 14:46,"4,25",Germany
552978,22989,SET 2 PANTRY DESIGN TEA TOWELS,100,5/12/11 14:46,"2,75",Germany
552978,23299,FOOD COVER WITH BEADS SET 2,50,5/12/11 14:46,"3,39",Germany
552978,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,48,5/12/11 14:46,"1,25",Germany
552978,84378,SET OF 3 HEART COOKIE CUTTERS,48,5/12/11 14:46,"1,25",Germany
552978,22626,BLACK KITCHEN SCALES,12,5/12/11 14:46,"7,65",Germany
552978,21121,SET/10 RED POLKADOT PARTY CANDLES,48,5/12/11 14:46,"1,25",Germany
552978,23184,BULL DOG BOTTLE OPENER,36,5/12/11 14:46,"4,15",Germany
552978,22659,LUNCH BOX I LOVE LONDON,24,5/12/11 14:46,"1,95",Germany
552978,22900,SET 2 TEA TOWELS I LOVE LONDON,24,5/12/11 14:46,"2,95",Germany
552978,15056P,EDWARDIAN PARASOL PINK,60,5/12/11 14:46,"4,95",Germany
552978,15056BL,EDWARDIAN PARASOL BLACK,60,5/12/11 14:46,"4,95",Germany
552978,15056N,EDWARDIAN PARASOL NATURAL,60,5/12/11 14:46,"4,95",Germany
552978,20679,EDWARDIAN PARASOL RED,60,5/12/11 14:46,"4,95",Germany
552978,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,60,5/12/11 14:46,"2,1",Germany
552978,22505,MEMO BOARD COTTAGE DESIGN,24,5/12/11 14:46,"4,25",Germany
