InvoiceNo,StockCode,Description,Quantity,date,price,Country
C538084,22860,EASTER TIN CHICKS PINK DAISY,-6,12/9/10 14:42,"1,65",Germany
C538084,22859,EASTER TIN BUNNY BOUQUET,-6,12/9/10 14:42,"1,65",Germany
552844,23193,BUFFALO BILL TREASURE BOOK BOX,8,5/11/11 14:37,"2,25",Germany
552844,23194,GYMKHANA TREASURE BOOK BOX,8,5/11/11 14:37,"2,25",Germany
552844,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,5/11/11 14:37,"1,65",Germany
552844,21981,PACK OF 12 WOODLAND TISSUES,24,5/11/11 14:37,"0,29",Germany
552844,21731,RED TOADSTOOL LED NIGHT LIGHT,24,5/11/11 14:37,"1,65",Germany
552844,21896,POTTING SHED TWINE,6,5/11/11 14:37,"2,1",Germany
552844,21158,MOODY GIRL DOOR HANGER,12,5/11/11 14:37,"1,45",Germany
552844,21159,MOODY BOY  DOOR HANGER,12,5/11/11 14:37,"1,45",Germany
552844,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,12,5/11/11 14:37,"2,55",Germany
552844,21452,TOADSTOOL MONEY BOX,6,5/11/11 14:37,"2,95",Germany
552844,22326,ROUND SNACK BOXES SET OF4 WOODLAND,18,5/11/11 14:37,"2,95",Germany
552844,22956,36 FOIL HEART CAKE CASES,6,5/11/11 14:37,"2,1",Germany
552844,21086,SET/6 RED SPOTTY PAPER CUPS,12,5/11/11 14:37,"0,65",Germany
552844,21094,SET/6 RED SPOTTY PAPER PLATES,12,5/11/11 14:37,"0,85",Germany
552844,22906,12 MESSAGE CARDS WITH ENVELOPES,12,5/11/11 14:37,"1,65",Germany
552844,23084,RABBIT NIGHT LIGHT,18,5/11/11 14:37,"2,08",Germany
552844,POST,POSTAGE,2,5/11/11 14:37,18,Germany
564337,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,8/24/11 14:40,"2,95",Germany
564337,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,8/24/11 14:40,"2,95",Germany
564337,16259,PIECE OF CAMO STATIONERY SET,108,8/24/11 14:40,"0,08",Germany
564337,22610,PENS ASSORTED FUNNY FACE,36,8/24/11 14:40,"0,19",Germany
564337,23298,SPOTTY BUNTING,3,8/24/11 14:40,"4,95",Germany
564337,22966,GINGERBREAD MAN COOKIE CUTTER,12,8/24/11 14:40,"1,25",Germany
564337,10125,MINI FUNKY DESIGN TAPES,20,8/24/11 14:40,"0,85",Germany
564337,16011,ANIMAL STICKERS,48,8/24/11 14:40,"0,21",Germany
564337,16237,SLEEPING CAT ERASERS,30,8/24/11 14:40,"0,21",Germany
564337,16238,PARTY TIME PENCIL ERASERS,28,8/24/11 14:40,"0,21",Germany
564337,20992,JAZZ HEARTS PURSE NOTEBOOK,48,8/24/11 14:40,"0,39",Germany
564337,84859C,PINK DISCO HANDBAG,12,8/24/11 14:40,"1,95",Germany
564337,POST,POSTAGE,1,8/24/11 14:40,18,Germany
564338,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,8/24/11 14:41,"2,55",Germany
