InvoiceNo,StockCode,Description,Quantity,date,price,Country
544933,10135,COLOURING PENCILS BROWN TUBE,200,2/25/11 8:44,"1,06",Germany
544933,22343,PARTY PIZZA DISH RED RETROSPOT,24,2/25/11 8:44,"0,85",Germany
544933,84356,POMPOM CURTAIN,36,2/25/11 8:44,"5,95",Germany
544933,22857,ASSORTED EASTER GIFT TAGS,12,2/25/11 8:44,"0,85",Germany
544933,22858,EASTER TIN KEEPSAKE,6,2/25/11 8:44,"1,65",Germany
544933,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2/25/11 8:44,"1,65",Germany
544933,22139,RETROSPOT TEA SET CERAMIC 11 PC,3,2/25/11 8:44,"4,95",Germany
544933,21915,RED  HARMONICA IN BOX,12,2/25/11 8:44,"1,25",Germany
544933,22556,PLASTERS IN TIN CIRCUS PARADE,12,2/25/11 8:44,"1,65",Germany
544933,22557,PLASTERS IN TIN VINTAGE PAISLEY,12,2/25/11 8:44,"1,65",Germany
544933,21980,PACK OF 12 RED RETROSPOT TISSUES,24,2/25/11 8:44,"0,29",Germany
544933,21985,PACK OF 12 HEARTS DESIGN TISSUES,24,2/25/11 8:44,"0,29",Germany
544933,22704,WRAP RED APPLES,25,2/25/11 8:44,"0,42",Germany
544933,22302,COFFEE MUG PEARS  DESIGN,6,2/25/11 8:44,"2,55",Germany
544933,22303,COFFEE MUG APPLES DESIGN,6,2/25/11 8:44,"2,55",Germany
544933,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,2/25/11 8:44,"2,95",Germany
544933,22897,OVEN MITT APPLES DESIGN,10,2/25/11 8:44,"1,45",Germany
544933,22908,PACK OF 20 NAPKINS RED APPLES,12,2/25/11 8:44,"0,85",Germany
544933,20718,RED RETROSPOT SHOPPER BAG,10,2/25/11 8:44,"1,25",Germany
544933,20754,RETROSPOT RED WASHING UP GLOVES,6,2/25/11 8:44,"2,1",Germany
544933,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,2/25/11 8:44,"2,95",Germany
544933,21531,RED RETROSPOT SUGAR JAM BOWL,6,2/25/11 8:44,"2,55",Germany
544933,21533,RETROSPOT LARGE MILK JUG,3,2/25/11 8:44,"4,95",Germany
544933,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2/25/11 8:44,"1,25",Germany
544933,85099B,JUMBO BAG RED RETROSPOT,10,2/25/11 8:44,"1,95",Germany
544933,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2/25/11 8:44,"1,95",Germany
544933,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2/25/11 8:44,"0,55",Germany
544933,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,2/25/11 8:44,"2,95",Germany
