InvoiceNo,StockCode,Description,Quantity,date,price,Country
555719,21090,SET/6 COLLAGE PAPER PLATES,24,6/6/11 15:31,"0,39",Germany
555719,21084,SET/6 COLLAGE PAPER CUPS,24,6/6/11 15:31,"0,19",Germany
555719,21394,RED POLKADOT BEAKER,48,6/6/11 15:31,"0,39",Germany
555719,21395,BLUE POLKADOT BEAKER,48,6/6/11 15:31,"0,39",Germany
555719,21360,JOY LARGE WOOD LETTERS,4,6/6/11 15:31,"3,95",Germany
555719,35810A,ENAMEL PINK COFFEE CONTAINER,12,6/6/11 15:31,"0,83",Germany
555719,35809A,ENAMEL PINK TEA CONTAINER,6,6/6/11 15:31,"0,83",Germany
555719,85032A,ROMANTIC IMAGES GIFT WRAP SET,6,6/6/11 15:31,"2,1",Germany
555719,85159B,"WHITE TEA,COFFEE,SUGAR JARS",12,6/6/11 15:31,"1,95",Germany
555719,23205,CHARLOTTE BAG VINTAGE ALPHABET,10,6/6/11 15:31,"0,85",Germany
555719,21990,MODERN FLORAL STATIONERY SET,6,6/6/11 15:31,"2,95",Germany
555719,22331,WOODLAND PARTY BAG + STICKER SET,8,6/6/11 15:31,"1,65",Germany
555719,22326,ROUND SNACK BOXES SET OF4 WOODLAND,12,6/6/11 15:31,"2,95",Germany
555719,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,6/6/11 15:31,"2,25",Germany
555719,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,6/6/11 15:31,"2,95",Germany
555719,22113,GREY HEART HOT WATER BOTTLE,8,6/6/11 15:31,"3,75",Germany
555719,22781,GUMBALL MAGAZINE RACK,2,6/6/11 15:31,"7,65",Germany
555719,22467,GUMBALL COAT RACK,6,6/6/11 15:31,"2,55",Germany
555719,22349,DOG BOWL CHASING BALL DESIGN,6,6/6/11 15:31,"3,75",Germany
555719,21249,WOODLAND  HEIGHT CHART STICKERS,6,6/6/11 15:31,"2,95",Germany
555719,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,6/6/11 15:31,"8,25",Germany
555719,23054,RECYCLED ACAPULCO MAT LAVENDER,2,6/6/11 15:31,"8,25",Germany
555719,23049,RECYCLED ACAPULCO MAT RED,2,6/6/11 15:31,"8,25",Germany
555719,23050,RECYCLED ACAPULCO MAT GREEN,2,6/6/11 15:31,"8,25",Germany
555719,22897,OVEN MITT APPLES DESIGN,10,6/6/11 15:31,"1,45",Germany
555719,22979,PANTRY WASHING UP BRUSH,12,6/6/11 15:31,"1,45",Germany
555719,POST,POSTAGE,5,6/6/11 15:31,18,Germany
