InvoiceNo,StockCode,Description,Quantity,date,price,Country
575352,22236,CAKE STAND 3 TIER MAGIC GARDEN,12,11/9/11 14:56,"10,95",Germany
575352,22776,SWEETHEART 3 TIER CAKE STAND,12,11/9/11 14:56,"8,5",Germany
575352,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,12,11/9/11 14:56,"8,5",Germany
575352,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,11/9/11 14:56,"1,25",Germany
575352,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,11/9/11 14:56,"1,25",Germany
575352,POST,POSTAGE,3,11/9/11 14:56,18,Germany
C577397,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-1,11/18/11 17:12,"9,95",Germany
C577397,22776,SWEETHEART 3 TIER CAKE STAND,-1,11/18/11 17:12,"9,95",Germany
C577397,22236,CAKE STAND 3 TIER MAGIC GARDEN,-1,11/18/11 17:12,"12,75",Germany
C577775,22236,CAKE STAND 3 TIER MAGIC GARDEN,-12,11/21/11 16:00,"10,95",Germany
C577775,22776,SWEETHEART 3 TIER CAKE STAND,-12,11/21/11 16:00,"8,5",Germany
C577775,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-12,11/21/11 16:00,"8,5",Germany
577776,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,11/21/11 16:02,"12,75",Germany
577776,22776,SWEETHEART 3 TIER CAKE STAND,1,11/21/11 16:02,"9,95",Germany
577776,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1,11/21/11 16:02,"9,95",Germany
