InvoiceNo,StockCode,Description,Quantity,date,price,CustomerID,Country
571556,23545,WRAP RED VINTAGE DOILY,25,10/18/11 9:24,"0,42",12662,Germany
571556,20712,JUMBO BAG WOODLAND ANIMALS,10,10/18/11 9:24,"2,08",12662,Germany
571556,23199,JUMBO BAG APPLES,10,10/18/11 9:24,"2,08",12662,Germany
571556,23388,WOODLAND MINI BACKPACK,4,10/18/11 9:24,"4,15",12662,Germany
571556,23432,PRETTY HANGING QUILTED HEARTS,12,10/18/11 9:24,"0,83",12662,Germany
571556,23433,HANGING QUILTED PATCHWORK APPLES,12,10/18/11 9:24,"0,83",12662,Germany
571556,22865,HAND WARMER OWL DESIGN,12,10/18/11 9:24,"2,1",12662,Germany
571556,22504,CABIN BAG VINTAGE RETROSPOT,1,10/18/11 9:24,"29,95",12662,Germany
571556,23298,SPOTTY BUNTING,3,10/18/11 9:24,"4,95",12662,Germany
571556,22318,FIVE HEART HANGING DECORATION,6,10/18/11 9:24,"2,95",12662,Germany
571556,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,10/18/11 9:24,"2,55",12662,Germany
571556,22144,CHRISTMAS CRAFT LITTLE FRIENDS,6,10/18/11 9:24,"2,1",12662,Germany
571556,20750,RED RETROSPOT MINI CASES,4,10/18/11 9:24,"7,95",12662,Germany
571556,16235,RECYCLED PENCIL WITH RABBIT ERASER,60,10/18/11 9:24,"0,21",12662,Germany
571556,20718,RED RETROSPOT SHOPPER BAG,10,10/18/11 9:24,"1,25",12662,Germany
571556,23311,VINTAGE CHRISTMAS STOCKING,6,10/18/11 9:24,"2,55",12662,Germany
571556,20726,LUNCH BAG WOODLAND,10,10/18/11 9:24,"1,65",12662,Germany
571556,22326,ROUND SNACK BOXES SET OF4 WOODLAND,12,10/18/11 9:24,"2,95",12662,Germany
571556,21680,WOODLAND  STICKERS,12,10/18/11 9:24,"0,85",12662,Germany
571556,84997B,CHILDRENS CUTLERY RETROSPOT RED,4,10/18/11 9:24,"4,15",12662,Germany
571556,21238,RED RETROSPOT CUP,8,10/18/11 9:24,"0,85",12662,Germany
571556,20675,BLUE POLKADOT BOWL,8,10/18/11 9:24,"1,25",12662,Germany
571556,20674,GREEN POLKADOT BOWL,8,10/18/11 9:24,"1,25",12662,Germany
571556,23204,CHARLOTTE BAG APPLES DESIGN,10,10/18/11 9:24,"0,85",12662,Germany
571556,22175,PINK OWL SOFT TOY,6,10/18/11 9:24,"2,95",12662,Germany
571556,22176,BLUE OWL SOFT TOY,6,10/18/11 9:24,"2,95",12662,Germany
571556,22779,WOODEN OWLS LIGHT GARLAND,4,10/18/11 9:24,"4,25",12662,Germany
571556,23108,SET OF 10 LED DOLLY LIGHTS,2,10/18/11 9:24,"6,25",12662,Germany
571556,23082,SET 6 PAPER TABLE LANTERN HEARTS,6,10/18/11 9:24,"3,75",12662,Germany
571556,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,10/18/11 9:24,"0,65",12662,Germany
571556,POST,POSTAGE,2,10/18/11 9:24,18,12662,Germany
571565,21843,RED RETROSPOT CAKE STAND,2,10/18/11 10:18,"10,95",12720,Germany
571565,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,10/18/11 10:18,"1,45",12720,Germany
571565,84988,SET OF 72 PINK HEART PAPER DOILIES,12,10/18/11 10:18,"1,45",12720,Germany
571565,23494,VINTAGE DOILY DELUXE SEWING KIT,6,10/18/11 10:18,"5,95",12720,Germany
571565,22130,PARTY CONE CHRISTMAS DECORATION,12,10/18/11 10:18,"0,85",12720,Germany
571565,21213,PACK OF 72 SKULL CAKE CASES,24,10/18/11 10:18,"0,55",12720,Germany
571565,22083,PAPER CHAIN KIT RETROSPOT,6,10/18/11 10:18,"2,95",12720,Germany
571565,22627,MINT KITCHEN SCALES,2,10/18/11 10:18,"8,5",12720,Germany
571565,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,10/18/11 10:18,"2,1",12720,Germany
571658,23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,8,10/18/11 12:48,"3,75",12621,Germany
571658,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,10/18/11 12:48,"1,95",12621,Germany
