InvoiceNo,StockCode,Description,Quantity,date,price,CustomerID,Country
C559189,22232,JIGSAW TOADSTOOLS 3 PIECE,-16,7/7/11 10:25,"0,59",12626,Germany
C559189,22028,PENNY FARTHING BIRTHDAY CARD,-12,7/7/11 10:25,"0,42",12626,Germany
C559253,23237,SET OF 4 KNICK KNACK TINS LEAF,-1,7/7/11 11:44,"4,15",12472,Germany
C559253,23236,DOILEY STORAGE TIN,-1,7/7/11 11:44,"2,89",12472,Germany
C559253,22556,PLASTERS IN TIN CIRCUS PARADE,-1,7/7/11 11:44,"1,65",12472,Germany
C559253,22467,GUMBALL COAT RACK,-2,7/7/11 11:44,"2,55",12472,Germany
C559253,22430,ENAMEL WATERING CAN CREAM,-1,7/7/11 11:44,"4,95",12472,Germany
C559253,22333,RETROSPOT PARTY BAG + STICKER SET,-1,7/7/11 11:44,"1,65",12472,Germany
C559253,22326,ROUND SNACK BOXES SET OF4 WOODLAND,-1,7/7/11 11:44,"2,95",12472,Germany
C559253,21671,RED SPOT CERAMIC DRAWER KNOB,-2,7/7/11 11:44,"1,25",12472,Germany
C559253,21669,BLUE STRIPE CERAMIC DRAWER KNOB,-1,7/7/11 11:44,"1,25",12472,Germany
559298,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,7/7/11 12:38,"1,25",12471,Germany
559298,23266,SET OF 3 WOODEN STOCKING DECORATION,12,7/7/11 12:38,"1,25",12471,Germany
559298,23318,BOX OF 6 MINI VINTAGE CRACKERS,24,7/7/11 12:38,"2,49",12471,Germany
559298,23320,GIANT 50'S CHRISTMAS CRACKER,12,7/7/11 12:38,"2,89",12471,Germany
559298,23319,BOX OF 6 MINI 50'S CRACKERS,12,7/7/11 12:38,"2,49",12471,Germany
559298,22812,PACK 3 BOXES CHRISTMAS PANNETONE,12,7/7/11 12:38,"1,95",12471,Germany
559298,21731,RED TOADSTOOL LED NIGHT LIGHT,24,7/7/11 12:38,"1,65",12471,Germany
559298,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,7/7/11 12:38,"0,85",12471,Germany
559298,21232,STRAWBERRY CERAMIC TRINKET BOX,24,7/7/11 12:38,"1,25",12471,Germany
559298,22077,6 RIBBONS RUSTIC CHARM,12,7/7/11 12:38,"1,65",12471,Germany
559298,22423,REGENCY CAKESTAND 3 TIER,16,7/7/11 12:38,"10,95",12471,Germany
559298,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,7/7/11 12:38,"1,65",12471,Germany
559298,22556,PLASTERS IN TIN CIRCUS PARADE,12,7/7/11 12:38,"1,65",12471,Germany
559298,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,7/7/11 12:38,"0,85",12471,Germany
559298,22419,LIPSTICK PEN RED,12,7/7/11 12:38,"0,42",12471,Germany
559298,22728,ALARM CLOCK BAKELIKE PINK,4,7/7/11 12:38,"3,75",12471,Germany
559298,22961,JAM MAKING SET PRINTED,24,7/7/11 12:38,"1,45",12471,Germany
559298,23155,KNICKERBOCKERGLORY MAGNET ASSORTED,24,7/7/11 12:38,"0,83",12471,Germany
559298,23159,SET OF 5 PANCAKE DAY MAGNETS,12,7/7/11 12:38,"2,08",12471,Germany
559298,23174,REGENCY SUGAR BOWL GREEN,4,7/7/11 12:38,"4,15",12471,Germany
559298,23175,REGENCY MILK JUG PINK,4,7/7/11 12:38,"3,25",12471,Germany
559298,POST,POSTAGE,6,7/7/11 12:38,18,12471,Germany
559300,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,7/7/11 12:40,"1,45",12471,Germany
559300,23238,SET OF 4 KNICK KNACK TINS LONDON,6,7/7/11 12:40,"4,15",12471,Germany
559300,23241,TREASURE TIN GYMKHANA DESIGN,6,7/7/11 12:40,"2,08",12471,Germany
559300,23236,DOILEY STORAGE TIN,6,7/7/11 12:40,"2,89",12471,Germany
559300,23240,SET OF 4 KNICK KNACK TINS DOILEY,6,7/7/11 12:40,"4,15",12471,Germany
559300,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,12,7/7/11 12:40,"1,45",12471,Germany
559300,23245,SET OF 3 REGENCY CAKE TINS,4,7/7/11 12:40,"4,95",12471,Germany
559300,23306,SET OF 36 DOILIES PANTRY DESIGN,12,7/7/11 12:40,"1,45",12471,Germany
559300,23307,SET OF 60 PANTRY DESIGN CAKE CASES,24,7/7/11 12:40,"0,55",12471,Germany
559300,23308,SET OF 60 VINTAGE LEAF CAKE CASES,24,7/7/11 12:40,"0,55",12471,Germany
559300,23309,SET OF 60 I LOVE LONDON CAKE CASES,24,7/7/11 12:40,"0,55",12471,Germany
559300,23198,PANTRY MAGNETIC  SHOPPING LIST,12,7/7/11 12:40,"1,45",12471,Germany
559316,22900,SET 2 TEA TOWELS I LOVE LONDON,6,7/7/11 13:54,"3,25",12647,Germany
559316,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,7/7/11 13:54,"3,25",12647,Germany
559316,22990,COTTON APRON PANTRY DESIGN,2,7/7/11 13:54,"4,95",12647,Germany
559316,23306,SET OF 36 DOILIES PANTRY DESIGN,12,7/7/11 13:54,"1,45",12647,Germany
559316,23307,SET OF 60 PANTRY DESIGN CAKE CASES,24,7/7/11 13:54,"0,55",12647,Germany
559316,85099B,JUMBO BAG RED RETROSPOT,10,7/7/11 13:54,"2,08",12647,Germany
