InvoiceNo,StockCode,Description,Quantity,date,price,Country
544996,21456,2 PICTURE BOOK EGGS EASTER CHICKS,12,2/25/11 11:53,"1,25",Germany
544996,22326,ROUND SNACK BOXES SET OF4 WOODLAND,12,2/25/11 11:53,"2,95",Germany
544996,22555,PLASTERS IN TIN STRONGMAN,12,2/25/11 11:53,"1,65",Germany
544996,22556,PLASTERS IN TIN CIRCUS PARADE,12,2/25/11 11:53,"1,65",Germany
544996,22553,PLASTERS IN TIN SKULLS,12,2/25/11 11:53,"1,65",Germany
544996,22716,CARD CIRCUS PARADE,12,2/25/11 11:53,"0,42",Germany
544996,22814,CARD PARTY GAMES,12,2/25/11 11:53,"0,42",Germany
544996,22824,3 TIER SWEETHEART GARDEN SHELF,1,2/25/11 11:53,"35,95",Germany
544996,21458,2 PICTURE BOOK EGGS EASTER BUNNY,12,2/25/11 11:53,"1,25",Germany
544996,22328,ROUND SNACK BOXES SET OF 4 FRUITS,12,2/25/11 11:53,"2,95",Germany
544996,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,2/25/11 11:53,"2,95",Germany
544996,22487,WHITE WOOD GARDEN PLANT LADDER,1,2/25/11 11:53,"9,95",Germany
544996,POST,POSTAGE,2,2/25/11 11:53,18,Germany
547005,22570,FELTCRAFT CUSHION RABBIT,4,3/18/11 14:20,"3,75",Germany
547005,22972,CHILDREN'S SPACEBOY MUG,12,3/18/11 14:20,"1,65",Germany
547005,22973,CHILDREN'S CIRCUS PARADE MUG,12,3/18/11 14:20,"1,65",Germany
547005,22975,SPACEBOY CHILDRENS EGG CUP,12,3/18/11 14:20,"1,25",Germany
547005,22859,EASTER TIN BUNNY BOUQUET,12,3/18/11 14:20,"1,65",Germany
547005,35910B,PINK FLOWERS RABBIT EASTER,6,3/18/11 14:20,"1,95",Germany
547005,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,3/18/11 14:20,"1,25",Germany
547005,21094,SET/6 RED SPOTTY PAPER PLATES,12,3/18/11 14:20,"0,85",Germany
547005,21086,SET/6 RED SPOTTY PAPER CUPS,12,3/18/11 14:20,"0,65",Germany
547005,21987,PACK OF 6 SKULL PAPER CUPS,12,3/18/11 14:20,"0,65",Germany
547005,21088,SET/6 FRUIT SALAD PAPER CUPS,12,3/18/11 14:20,"0,65",Germany
547005,20675,BLUE POLKADOT BOWL,8,3/18/11 14:20,"1,25",Germany
547005,22303,COFFEE MUG APPLES DESIGN,6,3/18/11 14:20,"2,55",Germany
547005,22908,PACK OF 20 NAPKINS RED APPLES,12,3/18/11 14:20,"0,85",Germany
547005,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,3/18/11 14:20,"1,25",Germany
547005,22326,ROUND SNACK BOXES SET OF4 WOODLAND,12,3/18/11 14:20,"2,95",Germany
547005,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,3/18/11 14:20,"2,95",Germany
547005,20719,WOODLAND CHARLOTTE BAG,20,3/18/11 14:20,"0,85",Germany
547005,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,3/18/11 14:20,"1,65",Germany
547005,85203,HANGING WOOD AND FELT BUTTERFLY,24,3/18/11 14:20,"0,42",Germany
547005,22228,BUNNY WOODEN PAINTED WITH BIRD,12,3/18/11 14:20,"0,85",Germany
547005,22247,BUNNY DECORATION MAGIC GARDEN,16,3/18/11 14:20,"0,85",Germany
547005,22321,BIRD DECORATION RED RETROSPOT,12,3/18/11 14:20,"0,85",Germany
547005,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,3/18/11 14:20,"0,85",Germany
547005,22367,CHILDRENS APRON SPACEBOY DESIGN,8,3/18/11 14:20,"1,95",Germany
547005,22631,CIRCUS PARADE LUNCH BOX,24,3/18/11 14:20,"1,95",Germany
547005,22716,CARD CIRCUS PARADE,12,3/18/11 14:20,"0,42",Germany
547005,22711,WRAP CIRCUS PARADE,25,3/18/11 14:20,"0,42",Germany
547005,16161U,WRAP SUKI AND FRIENDS,25,3/18/11 14:20,"0,42",Germany
547005,22045,SPACEBOY GIFT WRAP,25,3/18/11 14:20,"0,42",Germany
547005,21791,VINTAGE HEADS AND TAILS CARD GAME,12,3/18/11 14:20,"1,25",Germany
547005,22629,SPACEBOY LUNCH BOX,12,3/18/11 14:20,"1,95",Germany
547005,23177,TREASURE ISLAND BOOK BOX,8,3/18/11 14:20,"2,25",Germany
547005,23194,GYMKHANA TREASURE BOOK BOX,8,3/18/11 14:20,"2,25",Germany
547005,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,3/18/11 14:20,"12,75",Germany
547005,22302,COFFEE MUG PEARS  DESIGN,6,3/18/11 14:20,"2,55",Germany
547005,22637,PIGGY BANK RETROSPOT,4,3/18/11 14:20,"2,55",Germany
547005,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,3/18/11 14:20,"2,55",Germany
547005,22432,WATERING CAN PINK BUNNY,6,3/18/11 14:20,"1,95",Germany
547005,22431,WATERING CAN BLUE ELEPHANT,6,3/18/11 14:20,"1,95",Germany
