InvoiceNo,StockCode,Description,Quantity,date,price,Country
550004,22647,CERAMIC LOVE HEART MONEY BANK,12,4/14/11 9:56,"1,45",Germany
550004,22649,STRAWBERRY FAIRY CAKE TEAPOT,16,4/14/11 9:56,"4,95",Germany
550004,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,4/14/11 9:56,"1,49",Germany
550004,22922,FRIDGE MAGNETS US DINER ASSORTED,24,4/14/11 9:56,"0,85",Germany
550004,22064,PINK DOUGHNUT TRINKET POT,12,4/14/11 9:56,"1,65",Germany
550004,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,4/14/11 9:56,"4,95",Germany
550004,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,4/14/11 9:56,"0,85",Germany
550004,21218,RED SPOTTY BISCUIT TIN,6,4/14/11 9:56,"3,75",Germany
550004,POST,POSTAGE,4,4/14/11 9:56,18,Germany
550162,21231,SWEETHEART CERAMIC TRINKET BOX,12,4/14/11 16:23,"1,25",Germany
550162,21232,STRAWBERRY CERAMIC TRINKET BOX,12,4/14/11 16:23,"1,25",Germany
550162,22067,CHOC TRUFFLE GOLD TRINKET POT,12,4/14/11 16:23,"1,65",Germany
550162,37450,CERAMIC CAKE BOWL + HANGING CAKES,12,4/14/11 16:23,"2,95",Germany
550162,22135,MINI LADLE LOVE HEART PINK,12,4/14/11 16:23,"0,42",Germany
550162,21558,SKULL LUNCH BOX WITH CUTLERY,6,4/14/11 16:23,"2,55",Germany
550162,21581,SKULLS  DESIGN  COTTON TOTE BAG,6,4/14/11 16:23,"2,25",Germany
550162,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,4/14/11 16:23,"2,25",Germany
550162,POST,POSTAGE,2,4/14/11 16:23,18,Germany
C550611,22060,LARGE CAKE STAND HANGING HEARTS,-6,4/19/11 12:23,"3,95",Germany
551818,21232,STRAWBERRY CERAMIC TRINKET BOX,24,5/4/11 11:57,"1,25",Germany
551818,21231,SWEETHEART CERAMIC TRINKET BOX,24,5/4/11 11:57,"1,25",Germany
551818,22066,LOVE HEART TRINKET POT,48,5/4/11 11:57,"0,39",Germany
551818,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,18,5/4/11 11:57,"0,83",Germany
551818,37450,CERAMIC CAKE BOWL + HANGING CAKES,12,5/4/11 11:57,"2,95",Germany
551818,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,5/4/11 11:57,"1,49",Germany
551818,23180,MUM'S KITCHEN CLOCK,4,5/4/11 11:57,"4,95",Germany
551818,POST,POSTAGE,4,5/4/11 11:57,18,Germany
551886,15044A,PINK PAPER PARASOL,6,5/5/11 9:23,"2,95",Germany
551886,15044B,BLUE PAPER PARASOL,6,5/5/11 9:23,"2,95",Germany
551886,15044D,RED PAPER PARASOL,6,5/5/11 9:23,"2,95",Germany
551886,21903,MAN FLU METAL SIGN,12,5/5/11 9:23,"2,1",Germany
551886,21169,YOU'RE CONFUSING ME METAL SIGN,12,5/5/11 9:23,"1,69",Germany
551886,21905,MORE BUTTER METAL SIGN,6,5/5/11 9:23,"2,1",Germany
551886,POST,POSTAGE,1,5/5/11 9:23,18,Germany
