InvoiceNo,StockCode,Description,Quantity,date,price,Country
540769,22961,JAM MAKING SET PRINTED,12,1/11/11 10:38,"1,45",Germany
540769,22652,TRAVEL SEWING KIT,10,1/11/11 10:38,"1,65",Germany
540769,85176,SEWING SUSAN 21 NEEDLE SET,12,1/11/11 10:38,"0,85",Germany
540769,82482,WOODEN PICTURE FRAME WHITE FINISH,12,1/11/11 10:38,"2,55",Germany
540769,21135,VICTORIAN  METAL POSTCARD SPRING,8,1/11/11 10:38,"1,69",Germany
540769,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,1/11/11 10:38,"1,65",Germany
540769,22984,CARD GINGHAM ROSE,12,1/11/11 10:38,"0,42",Germany
540769,22331,WOODLAND PARTY BAG + STICKER SET,8,1/11/11 10:38,"1,65",Germany
540769,POST,POSTAGE,1,1/11/11 10:38,18,Germany
543550,82494L,WOODEN FRAME ANTIQUE WHITE,12,2/10/11 9:43,"2,95",Germany
543550,21314,SMALL GLASS HEART TRINKET POT,8,2/10/11 9:43,"2,1",Germany
543550,22567,20 DOLLY PEGS RETROSPOT,12,2/10/11 9:43,"1,25",Germany
543550,20897,VINTAGE NOTEBOOK PARIS DAYS,6,2/10/11 9:43,"2,95",Germany
543550,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,2/10/11 9:43,"0,85",Germany
543550,POST,POSTAGE,1,2/10/11 9:43,18,Germany
